UE d5aa: dlsch_rounds 189659/11669/5/4, dlsch_errors 3, pucch0_DTX 12, BLER 0.05351 MCS (0) 19
UE d5aa: dlsch_rounds 191087/11857/5/4, dlsch_errors 3, pucch0_DTX 12, BLER 0.11520 MCS (0) 21
UE d5aa: dlsch_rounds 192767/11935/5/4, dlsch_errors 3, pucch0_DTX 12, BLER 0.06690 MCS (0) 15
UE d5aa: dlsch_rounds 193953/11935/5/4, dlsch_errors 3, pucch0_DTX 12, BLER 0.01700 MCS (0) 15
UE d5aa: dlsch_rounds 193996/11935/5/4, dlsch_errors 3, pucch0_DTX 12, BLER 0.00432 MCS (0) 6
UE d5aa: dlsch_rounds 194066/11935/5/4, dlsch_errors 3, pucch0_DTX 12, BLER 0.00110 MCS (0) 13
UE d5aa: dlsch_rounds 194098/11935/5/4, dlsch_errors 3, pucch0_DTX 12, BLER 0.00038 MCS (0) 9
UE d5aa: dlsch_rounds 194172/11935/5/4, dlsch_errors 3, pucch0_DTX 12, BLER 0.00011 MCS (0) 8
UE d5aa: dlsch_rounds 194229/11935/5/4, dlsch_errors 3, pucch0_DTX 12, BLER 0.00003 MCS (0) 15
UE d5aa: dlsch_rounds 194774/11935/5/4, dlsch_errors 3, pucch0_DTX 12, BLER 0.00001 MCS (0) 15
UE d5aa: dlsch_rounds 195517/12145/5/4, dlsch_errors 3, pucch0_DTX 12, BLER 0.20147 MCS (0) 19
UE d5aa: dlsch_rounds 197263/12145/5/4, dlsch_errors 3, pucch0_DTX 12, BLER 0.05690 MCS (0) 17
